word,Vision,Motor,Socialness,Emotion,Emotion_abs+1,Time,Space
老辣,1.766666667,1.6,2.033333333,-0.533333333,1.533333333,1.233333333,1.066666667
许诺,1.9,2.1,5.666666667,1.566666667,2.566666667,1.866666667,1.166666667
偶遇,2.033333333,2.566666667,5.366666667,0.933333333,1.933333333,2.633333333,3.066666667
是,1.166666667,1.333333333,1.333333333,0.533333333,1.533333333,1.1,1.033333333
碗,5.733333333,3.966666667,1.066666667,0.033333333,1.033333333,1.1,2.333333333
此后,1.233333333,1.033333333,1.133333333,0.166666667,1.166666667,5.066666667,1.3
这个,1.2,1.333333333,1.133333333,0,1,1.2,1.233333333
尝试,1.333333333,1.8,2.033333333,0.466666667,1.466666667,1.6,1.2
无济于事,1.4,1.433333333,2.033333333,-3.1,4.1,1.266666667,1.1
苦差事,2.2,1.633333333,2.9,-3.7,4.7,1.266666667,1.2
掉,2.033333333,2.7,1.166666667,-1.066666667,2.066666667,1.4,3.033333333
草丛,5.433333333,3.266666667,1.133333333,0.133333333,1.133333333,1.1,5.266666667
彻底,1.3,1.233333333,1.1,0.2,1.2,1.466666667,1.066666667
着,1.166666667,1.033333333,1.133333333,-0.1,1.1,1.133333333,1.033333333
开机,3.433333333,3.333333333,1.266666667,0.566666667,1.566666667,2.533333333,1.466666667
坚持,1.5,1.766666667,1.4,2,3,3.533333333,1.233333333
苹果,6.366666667,4.466666667,1.1,0.733333333,1.733333333,1.2,1.766666667
好,1.266666667,1.866666667,1.366666667,3.3,4.3,1.1,1.066666667
差,1.3,1.933333333,1.366666667,-2.8,3.8,1.1,1.066666667
画,3.766666667,4.533333333,1.366666667,0.866666667,1.866666667,1.133333333,1.833333333
回家,2.166666667,2.7,3.466666667,2.2,3.2,2.066666667,5.066666667
身上,2.166666667,2.5,1.1,0.233333333,1.233333333,1.066666667,2.6
该,1.166666667,1.033333333,1.066666667,-0.3,1.3,1.166666667,1
规定,1.7,1.6,2.966666667,0.1,1.1,1.5,1.033333333
所,1.2,1.1,1.433333333,0.1,1.1,1.033333333,1.366666667
电灯,5.9,3.633333333,1.1,0.533333333,1.533333333,1.566666667,1.666666667
阳光,5.6,4,1.166666667,2.666666667,3.666666667,2.266666667,2
挪回,1.566666667,2.766666667,1.4,-0.166666667,1.166666667,1.5,4.066666667
家里,2.633333333,1.833333333,4.3,1.366666667,2.366666667,1.3,5.3
难以,1.133333333,1.1,1.066666667,-1.6,2.6,1.1,1.033333333
打碎,2.6,4.3,1.4,-2.6,3.6,1.4,1.966666667
拍,2.133333333,4.633333333,1.7,0.1,1.1,1.266666667,1.7
很大,1.433333333,2.4,1.1,0.566666667,1.566666667,1.066666667,2.266666667
长发,5.3,4.866666667,1.166666667,0.333333333,1.333333333,1.666666667,1.433333333
教,1.733333333,2.4,5.533333333,0.833333333,1.833333333,1.5,1.433333333
让,1.3,1.433333333,3.266666667,0.133333333,1.133333333,1.166666667,1.566666667
