股票代码,会计年度,行业代码,信息含量
002024,2020.0,F52,-0.2986058878697043
002025,2020.0,C39,-0.3098031236938383
002026,2020.0,C33,-0.3385585619692892
002027,2020.0,L72,-0.21332240647400974
002029,2020.0,C18,-0.27175250849493876
002030,2020.0,C27,-0.2467254672212633
002031,2020.0,C35,-0.37982790786284865
002032,2020.0,C33,-0.2135951525080525
002034,2020.0,N77,-0.20703030359765584
002035,2020.0,C38,-0.27854265052276034
002036,2020.0,C39,-0.20579782728445967
002037,2020.0,C26,-0.32450285767495024
002038,2020.0,C27,-0.33724190104617235
002039,2020.0,D44,-0.24129541250926212
002040,2020.0,G55,-0.27246608245345394
002042,2020.0,C17,-0.4364602382907019
002045,2020.0,C39,-0.21524866145368748
002046,2020.0,C34,-0.18810992475058025
002047,2020.0,E50,-0.20477996511219773
002048,2020.0,C36,-0.2704256878034441
002049,2020.0,C39,-0.2721056213926262
002050,2020.0,C34,-0.2517484934829022
002051,2020.0,E48,-0.2803983556301881
002052,2020.0,C39,-0.18909121111710184
002053,2020.0,C14,-0.21096444837316064
002054,2020.0,C26,-0.2737510148466712
002055,2020.0,C39,-0.3368867915367314
002056,2020.0,C38,-0.3294026346773632
002057,2020.0,C26,-0.2830786470450748
002058,2020.0,C40,-0.19681445569936418
002060,2020.0,E48,-0.09743014257195776
002061,2020.0,E48,-0.20090052393162652
002062,2020.0,E48,-0.2735235949818242
002063,2020.0,I65,-0.26120410334663013
002064,2020.0,C28,-0.1714579877791393
002065,2020.0,I65,-0.41838536791856384
002066,2020.0,C30,-0.19763025329917824
002067,2020.0,C22,-0.25974157605579273
002068,2020.0,C26,-0.2580657963085099
002072,2020.0,I64,-0.2972566339272041
002073,2020.0,C35,-0.31684049981880513
002074,2020.0,C38,-0.22349138400476143
002075,2020.0,C31,-0.24725664649804494
002076,2020.0,C38,-0.2888814928831621
002077,2020.0,K70,-0.3633945203458061
002078,2020.0,C22,-0.22414005857722696
002079,2020.0,C39,-0.3537703802934634
002080,2020.0,C30,-0.35729296226771684
002081,2020.0,E50,-0.2608434415187956
002082,2020.0,C32,-0.2409586653077814
002083,2020.0,C17,-0.27223446767537596
002084,2020.0,C33,-0.4391414744682662
002085,2020.0,C36,-0.11018131316554095
002087,2020.0,C17,-0.15108772366808781
002088,2020.0,C30,-0.29687219930419156
002089,2020.0,C39,-0.31244870655974594
002090,2020.0,C38,-0.36444311288425957
002091,2020.0,F51,-0.32291055881987785
002092,2020.0,C26,-0.18520046222736888
002093,2020.0,I65,-0.22234793364808825
002094,2020.0,C26,-0.1632496690239419
002095,2020.0,I64,-0.325917574993159
002096,2020.0,C26,-0.2622366708099791
002097,2020.0,C35,-0.32588133359578153
002098,2020.0,C41,-0.20894404008931172
002099,2020.0,C27,-0.3098732523262178
002100,2020.0,C13,-0.21240396858786786
002101,2020.0,C36,-0.17489869291650834
002102,2020.0,C27,-0.2539150601459267
002103,2020.0,L72,-0.32014840265444366
002104,2020.0,C39,-0.2297493909765448
002105,2020.0,C37,-0.2945514669213594
002106,2020.0,C39,-0.40659869081022587
002107,2020.0,C27,-0.31304401175018126
002108,2020.0,C29,-0.12654987246435412
002109,2020.0,C26,-0.3530648562235876
002110,2020.0,C31,-0.14503902644031993
002111,2020.0,C35,-0.3000480539286134
002112,2020.0,C38,-0.21318112306022258
002113,2020.0,I64,-0.2164200649288889
002114,2020.0,C32,-0.2962654746749665
002115,2020.0,C39,-0.2747730722238232
002116,2020.0,E48,-0.23620308597305112
002118,2020.0,C27,-0.2868222195643531
002119,2020.0,C39,-0.2047675733838374
002121,2020.0,C40,-0.3042770446946097
002122,2020.0,C34,-0.2210384194277914
002123,2020.0,I65,-0.2394684067943791
002124,2020.0,C13,-0.1798693616788879
002125,2020.0,C26,-0.23485292213867337
002126,2020.0,C36,-0.23507823070243775
002127,2020.0,L72,-0.25079673969228927
002128,2020.0,B06,-0.17964229331505555
002129,2020.0,C38,-0.39275458806191366
002130,2020.0,C39,-0.3087452619876776
002131,2020.0,I64,-0.36641149142421625
002132,2020.0,C33,-0.33322321097840113
002133,2020.0,K70,-0.24526028580335946
002134,2020.0,C39,-0.23673500831698419
002135,2020.0,C33,-0.3339549467174684
002136,2020.0,C26,-0.2415547648428692
002137,2020.0,C39,-0.44576805774768824
002138,2020.0,C39,-0.2221691938659794
002139,2020.0,C38,-0.31648057139104757
002140,2020.0,E48,-0.34320846434856367
002141,2020.0,C38,-0.14674530457253027
002144,2020.0,C17,-0.21909958685913306
002145,2020.0,C26,-0.2928299157783172
002146,2020.0,K70,-0.2816474585634981
002147,2020.0,K70,-0.14623354746943854
002148,2020.0,I65,-0.353147191578044
002149,2020.0,C32,-0.29394259997518296
002150,2020.0,C33,-0.19083405722220886
002151,2020.0,C39,-0.21309784644472235
002152,2020.0,C34,-0.32942854764582724
002153,2020.0,I65,-0.19960199891003208
002154,2020.0,C18,-0.1304421530400421
002155,2020.0,B09,-0.22885560731130125
002156,2020.0,C39,-0.19199874072294085
002157,2020.0,C13,-0.2879744618444864
002158,2020.0,C34,-0.21505264148827324
002160,2020.0,C32,-0.26082931204505605
002161,2020.0,C39,-0.18730356375292917
002162,2020.0,C30,-0.15595296669450498
002163,2020.0,E50,-0.2565441647447402
002164,2020.0,C35,-0.18269859354390036
002165,2020.0,C26,-0.396379950698535
002166,2020.0,C27,-0.31822406272512127
002167,2020.0,C32,-0.2665357287557733
002168,2020.0,I64,-0.3021276772071624
002169,2020.0,C38,-0.24290822371160606
002170,2020.0,C26,-0.224004361406468
002171,2020.0,C32,-0.28516298094999715
002172,2020.0,C28,-0.2004720834711942
002174,2020.0,I64,-0.07908705618056737
002175,2020.0,C40,-0.29635744834617994
002176,2020.0,C38,-0.20605414156446944
002177,2020.0,C35,-0.23829744045351467
002178,2020.0,M74,-0.22226280977630747
002179,2020.0,C39,-0.3091286719663978
002180,2020.0,C39,-0.25972949122710076
002181,2020.0,L72,-0.3265515786686181
002182,2020.0,C32,-0.21333378290401298
002183,2020.0,L72,-0.2800157133474297
002184,2020.0,C38,-0.2720026229804515
002185,2020.0,C39,-0.1772551093449632
002187,2020.0,F52,-0.21873418047494586
002188,2020.0,L72,-0.1996158547471186
002189,2020.0,C39,-0.28382810965292193
002190,2020.0,C36,-0.31005152969005134
002192,2020.0,C39,-0.22563450319855693
002193,2020.0,C17,-0.3563931503767648
002194,2020.0,C39,-0.32641729535613934
002195,2020.0,I65,-0.11605006741825175
002196,2020.0,C35,-0.29705293555952017
002197,2020.0,C34,-0.2329993295148748
002198,2020.0,C27,-0.4125899177815319
002199,2020.0,C39,-0.3113122056139579
002201,2020.0,C30,-0.30522034494954
002202,2020.0,C34,-0.35927259755634977
002203,2020.0,C32,-0.29769969821804504
002204,2020.0,C35,-0.37055298139470433
002205,2020.0,C30,-0.2166547007308452
002206,2020.0,C28,-0.1776564343385998
002208,2020.0,K70,-0.19897404291022358
002209,2020.0,C35,-0.30808793597076345
002210,2020.0,L72,-0.31823907338115287
002211,2020.0,C26,-0.2534080046993354
002212,2020.0,C38,-0.32622789844242867
002213,2020.0,C36,-0.23032284431763705
002214,2020.0,C39,-0.3154157130799499
002215,2020.0,C26,-0.31214556710066704
002216,2020.0,C14,-0.29319318912601894
002217,2020.0,C39,-0.24374845131001993
002218,2020.0,C38,-0.23320184843755637
002219,2020.0,C27,-0.22047345227676413
002221,2020.0,F51,-0.2679189838872199
002222,2020.0,C39,-0.29900402836614437
002223,2020.0,C35,-0.24907352181437623
002224,2020.0,C29,-0.26823234724788425
002225,2020.0,C30,-0.2703683947832203
002226,2020.0,C26,-0.3484289230915901
002227,2020.0,C38,-0.22537066578592863
002228,2020.0,C22,-0.2027596353695121
002230,2020.0,I65,-0.21464332889424748
002231,2020.0,C39,-0.2006525399836056
002232,2020.0,I65,-0.19013131078378936
002233,2020.0,C30,-0.2751423268676222
002235,2020.0,I64,-0.2574205870193429
002236,2020.0,C39,-0.33500328456790496
002237,2020.0,C32,-0.20614215825186338
002239,2020.0,C36,-0.23063864397196726
002241,2020.0,C39,-0.35285427490603233
002242,2020.0,C38,-0.33603079167449745
002243,2020.0,C29,-0.3562189738253041
002244,2020.0,K70,-0.2167536269640116
002246,2020.0,C26,-0.2473682064380779
002247,2020.0,I64,-0.22149318130735235
002248,2020.0,C34,-0.4100124916940171
002249,2020.0,C38,-0.30129782485925155
002250,2020.0,C26,-0.29995381396911125
002251,2020.0,F52,-0.24567402680402134
